部门id,部门,辅助分类,品种编号,品种名称,日期,台号,单价,销售量,赠送数量,取消数量,销售金额,赠送金额,取消金额,金额百分比,成本
9,海鲜,其他,110313590,5斤左右阿拉斯加蟹,2014_09_18,V15,488,0,0,-1,0,0,-488,0,278.16
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_20,V1,19.8,8,0,0,158.4,0,0,0.3833,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_04,V11,19.8,7,0,0,89.6,0,0,0.227,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_05,V11,19.8,8,0,0,102.4,0,0,0.2454,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_26,V8,19.8,6,0,0,76.8,0,0,0.2336,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_22,V10,19.8,0,0,-7,0,0,-138.6,0,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_04,V15,19.8,4,0,0,51.2,0,0,0.1297,10.69
6,点心,其他,110313775,百合酱蒸凤爪,2014_09_01,101,17,1,0,0,16,0,0,0.0414,6.8
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_19,V3,19.8,9,0,0,178.2,0,0,0.4223,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_26,V6,19.8,1,0,0,12.8,0,0,0.0389,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_03,V5,19.8,4,0,0,51.2,0,0,0.127,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_12,215,19.8,6,0,0,76.8,0,0,0.1879,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_21,V9,19.8,8,0,0,102.4,0,0,0.1391,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_03,V12,19.8,6,0,0,76.8,0,0,0.1906,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_29,285,19.8,6,0,0,118.8,0,0,0.4356,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_03,223,19.8,5,0,0,64,0,0,0.1588,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_04,V2,19.8,13,0,0,166.4,0,0,0.4216,10.69
9,海鲜,其他,110311882,8头鲜鲍/只,2014_09_18,V15,19.8,6,0,0,76.8,0,0,0.1295,10.69
